CustomerID,Age,Gender,AnnualIncome,SpendingScore,MembershipTier,Region,PreferredCategory,LoyaltyPoints,RecentPurchase
119,36,Non-Binary,55717.28,26,Gold,East,Toys,8666,Yes
120,57,Male,51512.23,79,Platinum,East,Electronics,5517,Yes
121,53,Male,79044.05,47,Diamond,North,Sports,2823,No
122,69,Female,124960.7,24,Silver,West,Sports,18,Yes
123,57,Non-Binary,61165.37,98,Gold,Central,Sports,2966,No
124,32,Female,117124.0,65,Silver,East,Electronics,5524,Yes
125,21,Female,137479.64,71,Diamond,Central,Toys,9307,No
126,46,Female,123475.94,63,Platinum,West,Home Decor,954,No
127,32,Male,116300.86,23,Silver,South,Toys,2410,Yes
128,18,Male,77525.86,25,Gold,West,Beauty,2450,No
129,57,Female,147491.47,87,Diamond,South,Toys,8301,Yes
130,29,Female,53324.46,52,Diamond,East,Clothing,1063,Yes
131,29,Female,73540.38,7,Silver,South,Beauty,3319,Yes
132,61,Non-Binary,38112.63,37,Silver,North,Home Decor,7664,Yes
133,59,Non-Binary,111862.79,68,Platinum,Central,Electronics,458,Yes
134,31,Female,133786.56,33,Gold,West,Electronics,3525,No
135,21,Male,67572.09,47,Gold,South,Toys,376,Yes
136,69,Male,43642.89,78,Silver,West,Sports,375,Yes
137,40,Male,99365.47,65,Platinum,North,Home Decor,8421,Yes
138,34,Female,75197.48,98,Diamond,South,Electronics,3348,No
139,38,Male,31067.9,64,Silver,South,Home Decor,4549,Yes
140,50,Non-Binary,108978.94,75,Diamond,East,Toys,9615,No
141,63,Male,135483.91,66,Platinum,East,Home Decor,54,No
142,27,Non-Binary,141182.59,51,Silver,East,Home Decor,7933,No
143,45,Non-Binary,120405.34,19,Silver,South,Sports,9885,No
144,67,Female,97221.66,19,Diamond,West,Beauty,4464,Yes
145,35,Non-Binary,39481.88,11,Platinum,West,Beauty,6017,No
146,55,Male,33502.27,69,Gold,East,Electronics,3154,Yes
147,35,Non-Binary,28839.03,62,Diamond,East,Clothing,4321,No
148,29,Non-Binary,58943.49,87,Gold,Central,Sports,4730,No
149,62,Male,95265.7,73,Platinum,East,Sports,6962,Yes
150,56,Female,132620.84,76,Platinum,West,Clothing,5564,No
151,26,Non-Binary,62343.63,36,Gold,West,Toys,7877,No
152,21,Non-Binary,93283.37,14,Diamond,East,Clothing,2251,Yes
153,66,Non-Binary,148877.73,64,Diamond,South,Beauty,412,Yes
154,59,Non-Binary,120780.89,30,Diamond,North,Clothing,664,Yes
155,56,Female,116784.88,66,Silver,South,Electronics,5455,No
156,35,Male,66226.95,34,Gold,Central,Sports,7862,No
157,36,Male,35847.16,33,Silver,West,Home Decor,7371,Yes
158,64,Non-Binary,65940.23,41,Silver,Central,Electronics,3178,No
159,42,Female,25702.29,60,Silver,Central,Sports,9065,No
160,31,Female,107052.8,3,Diamond,West,Clothing,3273,Yes
161,49,Male,56200.96,33,Diamond,East,Clothing,8598,No
162,56,Female,132353.5,56,Gold,East,Clothing,7070,No
163,56,Non-Binary,123252.07,72,Silver,South,Sports,3310,No
164,68,Female,117201.43,11,Gold,North,Sports,7679,Yes
165,65,Female,24432.39,43,Platinum,North,Clothing,4676,Yes
166,68,Male,64679.01,67,Gold,South,Beauty,2365,No
167,40,Non-Binary,24120.55,40,Silver,East,Beauty,8172,No
168,23,Female,91754.26,73,Gold,North,Home Decor,5212,Yes
169,42,Non-Binary,97343.33,51,Diamond,North,Electronics,574,No
170,31,Non-Binary,132275.88,38,Diamond,North,Clothing,1445,Yes
171,38,Male,122038.82,20,Gold,North,Clothing,4172,Yes
172,42,Non-Binary,35278.59,47,Diamond,East,Home Decor,1227,Yes
173,30,Non-Binary,139707.96,48,Platinum,South,Clothing,2867,Yes
174,67,Female,113614.71,18,Platinum,North,Beauty,6817,No
175,39,Non-Binary,78008.58,54,Platinum,South,Toys,7373,No
176,43,Female,85717.77,17,Diamond,West,Clothing,7932,No
177,44,Female,117375.6,33,Diamond,West,Clothing,311,Yes
178,50,Non-Binary,94540.68,87,Silver,East,Toys,4923,Yes
179,39,Female,149874.52,9,Silver,South,Toys,8644,Yes
180,47,Female,47528.48,84,Platinum,North,Home Decor,1806,Yes
181,69,Female,44173.99,33,Diamond,East,Toys,9822,No
182,35,Non-Binary,112060.74,99,Silver,East,Sports,1614,No
183,67,Male,56313.75,73,Silver,West,Home Decor,3335,Yes
184,69,Male,43252.36,84,Gold,South,Beauty,6973,No
185,27,Female,82007.81,15,Silver,West,Clothing,9207,No
186,29,Female,74665.72,71,Platinum,North,Home Decor,5066,Yes
187,34,Male,115519.72,78,Gold,South,Toys,4790,Yes
188,36,Male,93844.43,100,Silver,East,Electronics,4458,No
189,68,Non-Binary,105258.29,22,Gold,North,Home Decor,7602,Yes
190,60,Male,98755.09,30,Diamond,East,Electronics,5646,Yes
191,32,Non-Binary,125900.73,18,Gold,Central,Clothing,7009,Yes
192,54,Female,78554.72,37,Platinum,Central,Beauty,1791,No
193,58,Non-Binary,62552.79,62,Platinum,South,Clothing,8992,Yes
194,23,Male,109740.41,48,Diamond,Central,Clothing,2174,No
195,58,Female,118083.35,38,Gold,South,Toys,1236,Yes
196,44,Male,70618.07,48,Platinum,Central,Beauty,1739,Yes
197,49,Female,108050.09,10,Gold,North,Sports,3163,Yes
198,58,Non-Binary,77047.96,44,Gold,North,Electronics,6448,Yes
199,23,Female,46956.52,90,Silver,Central,Sports,2211,Yes
200,62,Female,32217.88,65,Diamond,East,Home Decor,6769,No
201,36,Female,86068.48,36,Diamond,South,Beauty,6298,Yes
202,50,Non-Binary,144331.1,44,Diamond,North,Home Decor,9189,No
203,54,Female,43256.48,43,Platinum,West,Clothing,5388,No
204,21,Male,33385.86,95,Gold,West,Toys,4473,Yes
205,55,Male,141378.86,2,Silver,North,Beauty,9868,Yes
206,70,Female,35733.51,71,Diamond,West,Home Decor,2135,Yes
207,32,Non-Binary,64218.37,44,Silver,Central,Electronics,7503,No
208,67,Non-Binary,60241.96,75,Platinum,West,Beauty,7655,Yes
209,19,Male,146495.02,60,Platinum,North,Toys,7584,No
210,55,Male,134089.01,31,Silver,South,Beauty,3500,No
211,32,Non-Binary,142440.09,36,Platinum,West,Beauty,8301,No
212,69,Non-Binary,74665.84,98,Gold,East,Beauty,4341,No
213,40,Non-Binary,99343.33,7,Gold,East,Sports,7265,Yes
214,33,Male,111446.81,8,Platinum,South,Home Decor,8052,No
215,62,Male,141952.78,76,Diamond,South,Sports,9396,No
216,38,Male,148199.61,29,Diamond,South,Electronics,7112,Yes
217,70,Male,30494.6,37,Gold,Central,Home Decor,9273,No
218,20,Male,138347.45,45,Platinum,East,Clothing,3271,No
219,37,Female,120968.17,63,Platinum,West,Sports,794,Yes
220,38,Male,42770.44,54,Platinum,South,Sports,5682,Yes
221,52,Female,22115.57,94,Silver,West,Clothing,3920,No
222,21,Non-Binary,107467.45,16,Silver,South,Sports,7333,No
223,27,Non-Binary,92724.86,92,Platinum,Central,Clothing,2107,Yes
224,54,Non-Binary,88735.43,96,Platinum,East,Home Decor,5681,Yes
225,23,Non-Binary,120314.05,94,Platinum,West,Clothing,7901,Yes
226,18,Non-Binary,21567.17,49,Gold,Central,Home Decor,9222,Yes
227,69,Non-Binary,118922.03,8,Platinum,East,Beauty,2752,No
228,47,Female,88131.72,40,Silver,South,Sports,2674,Yes
229,34,Male,41348.9,25,Gold,South,Toys,563,No
230,50,Non-Binary,44625.47,66,Gold,North,Sports,4347,No
231,40,Female,90876.5,38,Diamond,East,Beauty,9342,No
232,47,Non-Binary,81759.24,35,Gold,East,Electronics,2891,Yes
233,62,Male,50177.79,81,Gold,East,Beauty,1455,No
234,31,Female,47949.4,11,Silver,West,Electronics,8789,Yes
235,60,Non-Binary,49456.42,55,Diamond,Central,Clothing,8222,Yes
236,38,Male,64376.27,14,Platinum,West,Beauty,610,Yes
237,48,Non-Binary,147546.51,26,Silver,North,Beauty,1713,No
238,49,Non-Binary,94121.98,96,Platinum,North,Home Decor,7346,No
239,60,Male,28547.02,38,Platinum,Central,Sports,6473,No
240,38,Non-Binary,34077.8,25,Gold,East,Sports,4,No
241,62,Non-Binary,139460.45,54,Gold,South,Electronics,381,No
242,57,Male,126501.04,52,Platinum,Central,Clothing,2660,No
243,42,Male,48537.83,98,Gold,North,Toys,6879,Yes
244,21,Male,97685.57,79,Diamond,Central,Home Decor,5656,Yes
245,64,Non-Binary,38848.96,96,Platinum,South,Home Decor,1130,Yes
246,25,Non-Binary,115598.87,49,Platinum,West,Sports,7934,No
247,39,Male,46854.22,55,Gold,North,Home Decor,5321,Yes
248,35,Male,101106.0,8,Diamond,East,Beauty,6585,No
249,30,Non-Binary,119955.48,7,Gold,North,Toys,5323,No
250,66,Female,35431.09,89,Diamond,South,Sports,8021,No
251,49,Male,29503.86,76,Gold,North,Clothing,7329,Yes
252,22,Male,128904.49,73,Platinum,Central,Toys,8925,No
253,23,Female,30452.35,13,Platinum,South,Home Decor,6206,No
254,18,Non-Binary,68525.42,97,Diamond,North,Sports,3296,Yes
255,63,Non-Binary,141484.48,40,Silver,Central,Toys,8398,Yes
256,51,Female,105020.6,43,Platinum,West,Clothing,5913,No
257,19,Non-Binary,127135.08,37,Gold,West,Home Decor,9872,No
258,70,Male,53565.4,81,Platinum,East,Home Decor,6523,Yes
259,32,Male,141835.06,29,Gold,West,Beauty,8577,No
260,61,Non-Binary,120709.97,78,Diamond,South,Beauty,1046,Yes
261,37,Male,130656.2,82,Silver,South,Beauty,4746,No
262,46,Female,79085.13,82,Gold,East,Beauty,8280,No
263,37,Non-Binary,130957.51,42,Gold,Central,Clothing,8754,Yes
264,49,Non-Binary,59269.6,86,Platinum,Central,Clothing,7943,No
265,50,Male,125961.47,90,Diamond,West,Toys,4589,No
266,67,Male,148131.44,56,Gold,North,Sports,5972,No
267,60,Non-Binary,102269.08,70,Silver,South,Toys,29,Yes
268,38,Non-Binary,100310.35,99,Silver,Central,Sports,476,No
269,35,Male,37482.97,92,Silver,North,Sports,7754,Yes
270,51,Non-Binary,98908.06,94,Silver,North,Sports,7607,No
271,41,Female,79989.28,48,Diamond,Central,Electronics,6863,Yes
272,30,Male,24677.22,95,Platinum,North,Electronics,9647,No
273,20,Non-Binary,130437.07,68,Platinum,North,Electronics,6433,Yes
274,53,Female,141025.93,93,Platinum,South,Clothing,3330,No
275,69,Male,50285.88,7,Gold,North,Clothing,262,No
276,30,Non-Binary,141596.37,56,Platinum,East,Beauty,7836,Yes
277,60,Male,100807.72,99,Gold,West,Home Decor,1843,Yes
278,42,Female,52642.65,28,Gold,East,Sports,9713,Yes
279,28,Male,57577.18,60,Diamond,North,Home Decor,241,Yes
280,20,Female,116101.52,54,Gold,West,Beauty,976,Yes
281,52,Male,31602.72,52,Gold,East,Sports,4718,Yes
282,35,Male,112831.95,55,Silver,South,Beauty,50,No
283,49,Male,56393.66,78,Silver,Central,Sports,2309,No
284,62,Non-Binary,79986.68,71,Silver,South,Electronics,165,No
285,45,Female,70478.64,52,Gold,North,Sports,5717,No
286,41,Non-Binary,65564.29,4,Silver,West,Sports,4286,No
287,64,Female,110704.18,75,Silver,South,Sports,2136,Yes
288,63,Male,128657.53,90,Silver,North,Toys,9111,Yes
289,62,Female,76028.69,39,Silver,West,Toys,7373,No
290,36,Female,33857.73,96,Diamond,Central,Sports,7573,Yes
291,35,Female,129436.94,70,Silver,South,Sports,8518,Yes
292,28,Male,46520.3,48,Gold,South,Clothing,7962,No
293,47,Male,111466.31,55,Platinum,North,Toys,8757,Yes
294,49,Male,84415.69,71,Silver,West,Sports,5008,Yes
295,67,Male,92879.73,24,Gold,West,Beauty,2986,Yes
296,55,Male,139474.27,71,Silver,East,Toys,442,No
297,59,Non-Binary,135317.86,60,Platinum,South,Sports,9351,Yes
298,49,Non-Binary,60185.54,17,Diamond,North,Toys,8535,No
299,49,Male,73467.57,34,Diamond,East,Electronics,1841,Yes
300,41,Female,108231.95,79,Gold,West,Clothing,8470,Yes
301,26,Male,63040.63,87,Gold,North,Clothing,3541,No
302,20,Non-Binary,134896.54,36,Silver,North,Clothing,2023,Yes
303,30,Female,132575.57,17,Gold,West,Electronics,9085,No
304,59,Male,29721.75,54,Diamond,Central,Sports,8590,Yes
305,29,Non-Binary,113846.23,25,Platinum,North,Beauty,4824,Yes
306,44,Female,83905.06,90,Gold,North,Clothing,2732,Yes
307,32,Male,139144.75,13,Diamond,South,Sports,4189,No
308,58,Male,46506.54,63,Silver,East,Home Decor,8356,Yes
309,21,Male,145336.21,10,Platinum,South,Home Decor,7203,No
310,25,Male,81713.04,58,Silver,Central,Electronics,859,Yes
311,50,Female,120624.75,81,Platinum,Central,Clothing,3534,No
312,32,Non-Binary,49690.33,14,Diamond,East,Home Decor,6406,No
313,23,Male,57233.21,45,Platinum,West,Electronics,4742,No
314,26,Female,68152.76,77,Gold,East,Clothing,6317,Yes
315,61,Male,99882.36,19,Silver,Central,Electronics,567,Yes
316,62,Male,48257.02,45,Gold,Central,Electronics,2328,Yes
317,55,Non-Binary,142846.01,94,Platinum,South,Electronics,4234,Yes
318,21,Male,93770.8,60,Gold,West,Sports,5296,No
319,61,Non-Binary,105178.83,4,Platinum,East,Sports,3890,No
320,31,Male,87008.51,53,Platinum,East,Sports,8738,No
321,44,Male,124412.74,21,Silver,Central,Sports,21,Yes
322,47,Non-Binary,34666.33,97,Diamond,South,Home Decor,5439,No
323,36,Male,113089.97,65,Gold,South,Home Decor,9418,No
324,70,Non-Binary,63835.54,48,Silver,Central,Electronics,9217,Yes
325,57,Non-Binary,60729.77,40,Gold,North,Home Decor,1457,Yes
326,44,Male,143068.5,39,Diamond,South,Sports,7338,No
327,65,Female,93288.17,97,Gold,East,Electronics,6075,Yes
328,39,Female,104669.78,1,Platinum,West,Toys,1705,No
329,42,Female,46215.37,52,Platinum,South,Clothing,6895,Yes
330,40,Non-Binary,110860.58,77,Silver,Central,Sports,5245,Yes
331,31,Male,133017.99,22,Silver,East,Sports,3215,Yes
332,68,Female,65127.83,58,Diamond,North,Home Decor,1141,No
333,56,Male,105195.12,58,Gold,South,Home Decor,8418,Yes
334,42,Female,89920.48,29,Silver,South,Clothing,3301,No
335,40,Non-Binary,41276.0,23,Silver,West,Sports,403,Yes
336,39,Non-Binary,78149.19,51,Gold,South,Beauty,8059,Yes
337,37,Female,90048.53,47,Platinum,Central,Clothing,8403,Yes
338,69,Male,89274.42,2,Platinum,South,Home Decor,8862,No
339,30,Male,28876.32,57,Diamond,West,Beauty,414,No
340,24,Male,90431.91,5,Silver,East,Beauty,2179,Yes
341,39,Non-Binary,96692.19,6,Platinum,Central,Clothing,5011,Yes
342,23,Female,93004.48,16,Platinum,East,Toys,6203,No
343,57,Non-Binary,28562.02,72,Silver,East,Beauty,37,No
344,45,Male,103894.2,41,Silver,North,Sports,997,Yes
345,60,Female,78291.61,12,Platinum,East,Clothing,4913,No
346,51,Non-Binary,120066.45,47,Platinum,West,Home Decor,1091,No
347,37,Non-Binary,144299.88,36,Platinum,South,Clothing,5137,No
348,60,Non-Binary,51618.77,33,Platinum,Central,Electronics,2132,No
349,21,Male,23428.24,20,Gold,North,Toys,7511,No
350,59,Non-Binary,84743.38,90,Gold,East,Toys,1870,Yes
351,31,Male,106568.38,96,Platinum,West,Beauty,3605,No
352,32,Non-Binary,113938.34,71,Gold,South,Sports,4260,Yes
353,68,Male,143791.06,30,Platinum,South,Electronics,9160,Yes
354,27,Male,113297.3,87,Diamond,East,Toys,3003,Yes
355,51,Male,117263.58,44,Platinum,North,Home Decor,8369,No
356,31,Female,139443.49,99,Silver,Central,Toys,3456,No
357,37,Female,73475.67,1,Gold,South,Beauty,3886,No
358,57,Female,132954.73,91,Platinum,North,Toys,5758,Yes
359,42,Female,38879.59,79,Platinum,Central,Electronics,2071,No
360,61,Female,30887.9,62,Silver,North,Sports,1864,Yes
361,44,Male,70084.79,27,Diamond,South,Clothing,8424,Yes
362,29,Male,76891.37,36,Platinum,West,Toys,6051,No
363,67,Non-Binary,41069.34,83,Diamond,East,Clothing,8148,Yes
364,55,Female,41289.43,83,Gold,East,Beauty,7968,Yes
365,58,Non-Binary,32473.87,54,Platinum,Central,Toys,380,Yes
366,38,Male,63830.38,54,Platinum,North,Clothing,3093,Yes
367,21,Non-Binary,54774.56,5,Diamond,East,Sports,1567,No
368,45,Female,98776.76,39,Platinum,West,Toys,2845,Yes
369,53,Male,98989.45,85,Platinum,East,Home Decor,3341,Yes
370,23,Female,34796.06,7,Platinum,South,Clothing,9611,No
371,67,Female,37804.13,8,Gold,East,Clothing,6651,Yes
372,40,Male,26283.41,35,Diamond,South,Clothing,5579,No
373,50,Non-Binary,98207.21,62,Diamond,West,Electronics,1015,Yes
374,69,Male,104455.22,31,Silver,South,Clothing,6573,Yes
375,55,Male,114499.62,47,Diamond,South,Toys,5061,No
376,50,Non-Binary,54494.49,68,Platinum,North,Home Decor,532,Yes
377,58,Non-Binary,66148.37,58,Platinum,South,Beauty,5795,Yes
378,36,Female,134508.9,67,Diamond,East,Sports,8125,Yes
379,52,Non-Binary,26118.74,5,Silver,East,Electronics,3777,No
380,44,Male,122854.58,28,Gold,East,Sports,4643,No
381,70,Male,141337.75,80,Diamond,South,Home Decor,3053,No
382,58,Non-Binary,138155.96,53,Platinum,North,Toys,1468,Yes
383,59,Male,128827.59,28,Gold,East,Electronics,4328,No
384,48,Non-Binary,23801.94,84,Platinum,West,Home Decor,9759,No
385,69,Female,38131.55,90,Gold,Central,Clothing,3502,Yes
386,49,Male,92310.49,90,Diamond,Central,Beauty,7511,Yes
387,56,Male,94840.89,28,Platinum,North,Home Decor,7217,No
388,34,Female,61568.23,81,Diamond,Central,Home Decor,5220,No
389,70,Female,80992.74,50,Diamond,North,Electronics,1236,No
390,27,Non-Binary,57557.49,39,Diamond,West,Home Decor,8962,No
391,70,Male,138337.43,48,Silver,North,Sports,6917,Yes
392,49,Non-Binary,61343.83,30,Gold,East,Home Decor,22,No
393,24,Non-Binary,90475.16,55,Platinum,West,Home Decor,559,Yes
394,61,Non-Binary,139109.77,42,Diamond,South,Electronics,6809,No
395,46,Female,59604.39,20,Diamond,East,Electronics,9763,Yes
396,34,Male,67175.61,57,Diamond,North,Sports,7442,No
397,39,Non-Binary,62499.87,41,Gold,South,Toys,7033,No
398,19,Male,127792.61,61,Gold,North,Sports,6419,Yes
399,58,Male,107706.5,88,Diamond,North,Toys,528,No
400,51,Female,98495.89,39,Silver,Central,Sports,6038,Yes
401,70,Male,96581.68,57,Gold,Central,Beauty,1553,No
402,38,Female,67958.65,100,Platinum,West,Beauty,294,Yes
403,58,Male,31994.45,57,Platinum,South,Sports,7838,Yes
404,57,Female,31276.06,60,Platinum,Central,Electronics,8314,Yes
405,27,Non-Binary,142427.39,7,Diamond,West,Beauty,3141,No
406,46,Male,69731.59,38,Diamond,Central,Clothing,3510,No
407,69,Non-Binary,139255.4,32,Diamond,North,Sports,9463,Yes
408,43,Female,149324.02,85,Diamond,North,Sports,5643,No
409,34,Non-Binary,50977.12,55,Silver,North,Beauty,9175,No
410,63,Female,39001.76,98,Platinum,East,Electronics,3778,Yes
411,24,Female,30661.75,85,Silver,East,Toys,7656,No
412,50,Female,63948.57,90,Platinum,West,Beauty,6085,Yes
413,43,Male,21867.85,53,Silver,East,Clothing,6662,Yes
414,58,Non-Binary,111568.09,26,Silver,East,Home Decor,518,No
415,50,Male,53100.4,73,Diamond,Central,Toys,9047,No
416,39,Non-Binary,32708.94,4,Gold,North,Beauty,141,No
417,45,Non-Binary,44073.51,64,Gold,South,Home Decor,4482,Yes
418,58,Female,44216.22,20,Diamond,Central,Home Decor,7671,No
419,23,Male,131336.02,27,Diamond,North,Home Decor,559,No
420,65,Non-Binary,71478.65,93,Platinum,South,Electronics,7883,Yes
421,70,Male,94110.13,96,Platinum,East,Clothing,5665,Yes
422,59,Female,20784.74,57,Diamond,Central,Electronics,3189,No
423,53,Male,73441.9,65,Silver,West,Beauty,832,No
